"full_name","team","age","position","goals_overall","assists_overall"
"Takumi Minamino","Japan",29,"Forward",2,1
"Tsuyoshi Watanabe","Japan",27,"Defender",0,0
"Wataru Endo","Japan",31,"Midfielder",1,1
"Yukinari Sugawara","Japan",24,"Defender",0,0
"Yuta Nakayama","Japan",27,"Defender",0,0
"Zion Suzuki","Japan",21,"Goalkeeper",0,0
"Abdallah Ra'ed Alfakhori","Jordan",24,"Goalkeeper",0,0
"Ahmad Mohannad Juaidi","Jordan",23,"Goalkeeper",0,0
"Ali Iyad Olwan","Jordan",24,"Forward",0,0
"Anas Hammad","Jordan",26,"Midfielder",0,1
"Anas Walid Khaled Bani Yassen","Jordan",35,"Defender",0,0
"Bara Sami Mousa Marie","Jordan",30,"Defender",0,0
"Ehsan Manel Farhan Haddad","Jordan",30,"Defender",0,1
"Fadi Mahmoud Awad Saleh","Jordan",31,"Midfielder",0,0
"Feras Zeyad Yousef Shilbaya","Jordan",30,"Midfielder",0,0
"Hamza Ali Khaled Al Dardoor","Jordan",33,"Forward",0,0
"Ibrahim Mohammad Sami","Jordan",24,"Midfielder",0,0
"Mahmoud Nayef Ahmad Al Mardi","Jordan",30,"Midfielder",2,0
"Moussa Al Tamari","Jordan",27,"Defender",3,1
"Nizar Mahmoud Al-Rashdan","Jordan",25,"Midfielder",1,1
"Noor Al-Deen Mahmoud Ali Al Rawabdeh","Jordan",27,"Midfielder",0,0
"Rajaei Ayed Fadel Hasan","Jordan",31,"Midfielder",0,0
"Saleh Ibrahim Rateb","Jordan",29,"Midfielder",0,1
"Salem Al Ajalin","Jordan",36,"Defender",0,0
"Yazan Abdallah Alnaimat","Jordan",25,"Forward",4,2
"Yazan Abo Alarab","Jordan",28,"Defender",2,0
"Yazeed Moien Hasan Abu laila","Jordan",31,"Goalkeeper",0,0
"Yousef Abdul Abu Jalboush","Jordan",26,"Midfielder",0,0
"Youssef Jalbosh","Jordan",26,"Midfielder",0,0
"Marsel Islamkulov","Kyrgyzstan",30,"Goalkeeper",0,0
"Abdurakhmanov Odilzhon","Kyrgyzstan",28,"Midfielder",0,0
"Adil Kadirjanov","Kyrgyzstan",24,"Midfielder",0,0
"Aizar Akmatov","Kyrgyzstan",25,"Defender",0,0
"Amantur Shamurzaev","Kyrgyzstan",24,"Midfielder",0,0
"Atay Dzhumashev","Kyrgyzstan",25,"Forward",0,0
"Azim Azarov","Kyrgyzstan",27,"Midfielder",0,0
