"full_name","Current.Club","position","age_group","game_impact"
"Young-Woo Seol","South Korea","Defender","21-25",1
"Ignacio Insa Bohigues","Malaysia","Midfielder","36-40",0
"Jordi Amat","Indonesia","Defender","31-35",0
"Yasser Hamed Mayor","Palestine","Defender","21-25",0
"Aiham Ousou","Syria","Defender","21-25",0
"Alexander Michel","Lebanon","Defender","26-30",0
"Amir Al-Ammari","Iraq","Midfielder","26-30",0
"Amr Kaddoura","Palestine","Goalkeeper","26-30",0
"Antonio Yakoub","Syria","Midfielder","21-25",0
"Elias Dolah","Thailand","Midfielder","26-30",0
"Elmar Abraham","Syria","Midfielder","21-25",0
"Hussein Ali","Iraq","Defender","21-25",0
"Michel Termanini","Palestine","Defender","21-25",0
"Montader Madjed","Iraq","Forward","16-20",0
"Mouhammed Ali Dhaini","Lebanon","Defender","26-30",0
"Ahmad Madania","Syria","Goalkeeper","31-35",0
"Alaa Al Dali","Syria","Forward","26-30",0
"Ammar Ramadan","Syria","Midfielder","21-25",0
"Amro Jenyat","Syria","Defender","26-30",0
"Ibrahim Alma","Syria","Goalkeeper","31-35",0
"Khaled Kerdagli","Syria","Forward","26-30",0
"Maksim Sarraf","Syria","Midfielder","16-20",0
"Moayad Al Ajan","Syria","Defender","26-30",0
"Moayad Al Khouli","Syria","Defender","26-30",0
"Mohammad Anz","Syria","Midfielder","26-30",0
"Omar Al Midani","Syria","Defender","26-30",0
"Omar Khribin","Syria","Forward","26-30",2
"Taha Mosa","Syria","Goalkeeper","36-40",0
"Thaer Krouma","Syria","Midfielder","31-35",0
"Akhtam Nazarov","Tajikistan","Defender","26-30",0
"Alisher Shukurov","Tajikistan","Midfielder","21-25",0
"Daler Barotov","Tajikistan","Goalkeeper","21-25",0
"Daler Imomnazarov","Tajikistan","Defender","26-30",0
"Ehsoni Panshanbe","Tajikistan","Midfielder","21-25",1
"Hasan Muhammadjon","Tajikistan","Forward","21-25",0
"Komron Tursunov","Tajikistan","Forward","26-30",0
"Manucher Safarov","Tajikistan","Defender","21-25",0
"Muhammadali Azizboev","Tajikistan","Forward","16-20",0
"Nuriddin Hamroqulov","Tajikistan","Forward","21-25",0
"Parvizchon Umarbaev","Tajikistan","Midfielder","26-30",1
"Rustam Yatimov","Tajikistan","Goalkeeper","21-25",0
"Shahrom Samiev","Tajikistan","Midfielder","21-25",0
"Shervoni Mabatshoev","Tajikistan","Midfielder","21-25",0
"Sodiqjon Qurbonov","Tajikistan","Midfielder","16-20",0
"Tabrezi Davlatmir","Tajikistan","Defender","21-25",0
"Vahdat Hanonov","Tajikistan","Defender","21-25",2
"Vaysiddin Safarov","Tajikistan","Midfielder","26-30",0
"Zoir Jurabaev","Tajikistan","Midfielder","21-25",1
